taxpayer_id,afm,sector,income,declarations_last_3y,avg_declaration_amount,days_since_last_audit,sector_risk_score,income_volatility,declared_employees,is_flagged
1,030798436,RETAIL,65320.45,5,33765.53,1294,0.35,0.095,47,0
2,793404869,CONSTRUCTION,61367.33,1,30091.49,660,0.55,0.626,20,1
3,870330141,AGRICULTURE,45475.59,1,57856.02,409,0.4,0.834,30,0
4,821797646,TECH,0,10,0,115,0.15,0.395,12,0
5,008000182,HEALTHCARE,104650.51,7,93297.41,1633,0.2,0.289,10,0
6,068870909,HEALTHCARE,80501.68,2,50746.19,127,0.2,0.813,7,0
7,456450407,TECH,49337.53,2,31014.88,837,0.15,0.639,106,0
8,213952076,TOURISM,25835.63,10,7993.31,719,0.45,0.728,9,0
9,183701577,RETAIL,93402.07,5,57762.94,1162,0.35,0.223,23,0
10,984847169,RETAIL,31682.61,6,37932.67,311,0.35,0.144,44,0
11,268141550,AGRICULTURE,55696.15,1,86970.75,1011,0.4,0.591,24,0
12,173375911,TECH,30046.53,7,17929.84,28,0.15,0.06,173,0
13,839557016,AGRICULTURE,61812.86,11,72262.85,159,0.4,0.233,48,0
14,942535253,TECH,53702.4,9,46891.82,1270,0.15,0.646,186,0
15,995440809,HEALTHCARE,66062.0,0,54293.67,1704,0.2,0.616,22,0
16,496308397,TOURISM,31050.3,10,36450.41,1357,0.45,0.465,7,0
17,953491026,HEALTHCARE,75345.16,1,92083.92,1109,0.2,0.779,14,0
18,970755453,CONSTRUCTION,11517.93,4,5967.64,1212,0.55,0.225,18,0
19,708957438,TOURISM,30372.37,3,22691.75,1325,0.45,0.632,1,0
20,768079810,CONSTRUCTION,17413.25,8,16730.91,325,0.55,0.403,37,0
21,933863458,FINANCE,56265.13,1,65406.41,628,0.3,0.4,10,0
22,849811457,HEALTHCARE,56899.02,3,60247.65,1338,0.2,0.35,33,0
23,507451152,RETAIL,17714.19,8,13136.5,1810,0.35,0.377,34,0
24,000300352,RETAIL,35443.72,8,29328.95,1516,0.35,0.402,5,0
25,249487836,FINANCE,68017.69,1,39210.84,949,0.3,0.558,33,0
26,558281461,FINANCE,119610.15,0,90748.39,302,0.3,0.536,19,1
27,887217283,HEALTHCARE,73636.97,7,33272.91,63,0.2,0.117,36,0
28,448794931,HEALTHCARE,79166.19,6,63751.34,1738,0.2,0.481,32,0
29,807274358,HEALTHCARE,65006.27,2,94078.52,59,0.2,0.376,11,0
30,434205024,AGRICULTURE,23753.64,12,26017.07,1598,0.4,0.152,31,0
31,450373509,TECH,63862.1,5,17964.18,84,0.15,0.497,54,0
32,261751541,CONSTRUCTION,72095.18,12,36739.12,1163,0.55,0.188,44,0
33,021361399,TOURISM,77560.52,11,47180.73,364,0.45,0.796,32,0
34,445122760,TOURISM,48651.97,3,29174.49,1201,0.45,0.595,45,0
35,644207077,FINANCE,103984.67,6,34547.69,879,0.3,0.056,28,0
36,312899851,TECH,49236.91,10,60521.26,1172,0.15,0.539,185,0
37,112625748,TECH,18533.07,10,14527.6,1786,0.15,0.052,69,0
38,505751943,TOURISM,60736.25,6,39244.22,1444,0.45,0.445,24,0
39,511549475,RETAIL,58967.91,2,57428.97,1298,0.35,0.305,0,0
40,254228803,FINANCE,79924.21,4,60817.22,866,0.3,0.784,23,0
41,480579687,AGRICULTURE,46082.43,9,37724.27,982,0.4,0.568,44,0
42,976110976,AGRICULTURE,69548.34,12,12339.44,705,0.4,0.18,6,0
43,535818985,CONSTRUCTION,59920.34,8,47383.52,865,0.55,0.39,46,0
44,688238551,FINANCE,95984.79,1,50378.8,1347,0.3,0.404,5,0
45,730880480,AGRICULTURE,41587.48,10,35782.68,1796,0.4,0.517,16,0
46,001115663,TOURISM,78930.78,12,84092.51,262,0.45,0.729,44,0
47,557939381,AGRICULTURE,74707.01,1,84924.79,53,0.4,0.637,32,0
48,484615910,CONSTRUCTION,44997.02,4,42324.85,1005,0.55,0.375,37,0
49,304311387,TECH,40342.52,9,39270.44,907,0.15,0.575,27,0
50,173559971,RETAIL,77183.92,1,63074.7,1303,0.35,0.052,26,0
51,162595345,HEALTHCARE,30560.88,1,25210.4,878,0.2,0.356,18,0
52,937259561,RETAIL,4961.16,2,4664.28,1093,0.35,0.772,43,0
53,148102703,HEALTHCARE,38945.55,8,15630.44,411,0.2,0.731,42,0
54,052723754,HEALTHCARE,72792.37,5,33547.23,1436,0.2,0.431,4,0
55,260748699,CONSTRUCTION,62501.79,7,40813.36,1137,0.55,0.815,3,0
56,791665914,CONSTRUCTION,16419.52,3,22403.41,1168,0.55,0.438,35,0
57,489142742,RETAIL,44741.96,12,38276.43,463,0.35,0.193,12,0
58,827372041,AGRICULTURE,29779.05,5,33973.51,1608,0.4,0.531,20,0
59,504890060,HEALTHCARE,11801.35,9,9216.72,1423,0.2,0.263,17,0
60,828330092,HEALTHCARE,0,11,0,1012,0.2,0.84,8,0
61,702672182,HEALTHCARE,50944.58,2,58926.44,1143,0.2,0.764,11,0
62,753639786,RETAIL,0,12,0,737,0.35,0.412,14,0
63,682298336,AGRICULTURE,30371.29,1,20697.3,1664,0.4,0.735,17,0
64,305644158,TOURISM,65226.93,1,60111.16,974,0.45,0.488,13,0
65,875833183,TOURISM,17865.18,10,18285.41,993,0.45,0.727,33,0
66,208361622,AGRICULTURE,14577.92,2,6758.26,1738,0.4,0.119,45,0
67,204816113,TOURISM,24739.12,3,20972.76,178,0.45,0.828,0,0
68,015896719,CONSTRUCTION,31116.38,8,27370.96,1405,0.55,0.702,23,0
69,669803273,HEALTHCARE,24177.79,10,27840.59,491,0.2,0.732,0,0
70,913741283,TOURISM,43264.47,12,4946.31,832,0.45,0.398,11,0
71,508220473,AGRICULTURE,12555.66,10,7086.85,905,0.4,0.326,24,0
72,882418335,TECH,55933.44,9,49743.32,1377,0.15,0.072,115,0
73,147342722,HEALTHCARE,38851.19,10,31678.51,1768,0.2,0.596,41,0
74,517489862,TECH,0,8,0,1405,0.15,0.058,7,0
75,894152359,CONSTRUCTION,70378.9,6,58923.45,984,0.55,0.246,17,0
76,166515174,TOURISM,46589.16,10,28428.37,126,0.45,0.749,36,0
77,666479846,HEALTHCARE,0,12,0,326,0.2,0.244,18,0
78,015276509,RETAIL,45942.41,3,35111.93,733,0.35,0.065,24,0
79,693963229,FINANCE,65289.19,7,61409.04,1690,0.3,0.718,44,0
80,343399712,TOURISM,78296.07,11,55226.32,1299,0.45,0.319,31,0
81,706198780,CONSTRUCTION,0,6,0,240,0.55,0.536,28,0
82,934105567,AGRICULTURE,69488.57,10,66895.9,135,0.4,0.379,24,0
83,784271713,FINANCE,71334.55,7,42044.76,1660,0.3,0.269,2,0
84,143648936,HEALTHCARE,73738.39,6,21118.61,1661,0.2,0.294,26,0
85,700251882,TECH,66597.06,9,51301.74,22,0.15,0.756,132,0
86,411022013,TOURISM,86157.53,0,104560.36,342,0.45,0.651,15,0
87,893709972,TOURISM,62061.36,10,63994.8,1805,0.45,0.509,8,0
88,023285212,HEALTHCARE,45470.38,3,44107.28,454,0.2,0.582,3,0
89,860064988,RETAIL,69789.37,2,56923.82,267,0.35,0.266,30,0
90,276999045,AGRICULTURE,60056.73,6,64604.94,1247,0.4,0.07,10,0
91,692782972,TECH,30036.67,0,13856.07,1714,0.15,0.559,44,0
92,374012684,FINANCE,77824.6,9,41408.84,1076,0.3,0.201,31,0
93,065931248,FINANCE,38021.21,8,13943.92,704,0.3,0.383,12,0
94,545734854,CONSTRUCTION,47094.6,2,20310.76,920,0.55,0.537,24,0
95,523081973,TECH,55562.61,3,78210.58,892,0.15,0.355,19,0
96,045242052,AGRICULTURE,44054.04,10,0,536,0.4,0.542,21,0
97,613187639,HEALTHCARE,38105.2,10,23487.48,1581,0.2,0.458,0,0
98,678869512,RETAIL,43165.23,12,38198.43,350,0.35,0.703,0,0
99,038200003,HEALTHCARE,41190.14,5,8052.26,1001,0.2,0.073,10,0
100,821038878,TOURISM,55781.29,0,45163.42,1145,0.45,0.089,36,0
101,401624295,TECH,18435.14,1,24792.97,953,0.15,0.453,42,0
102,915422058,AGRICULTURE,64094.28,3,40140.72,1044,0.4,0.436,36,0
