event_id,citizen_afm,service_code,event_type,event_ts,wait_minutes,channel,municipality
KEP001,123456789,BIRTH_CERT,REQUEST_CREATED,2026-01-10 09:00:00,12,Physical,Athens
KEP002,123456789,BIRTH_CERT,REQUEST_COMPLETED,2026-01-10 09:25:00,25,Physical,Athens
KEP003,987654321,ADDRESS_CHANGE,REQUEST_CREATED,2026-01-10 10:00:00,8,Digital,Thessaloniki
KEP004,456789123,TAX_CERT,REQUEST_CREATED,2026-01-10 10:05:00,,Physical,Patras
KEP005,222333444,TAX_CERT,REQUEST_FAILED,2026-01-10 10:20:00,30,Digital,Athens
KEP006,333444555,BIRTH_CERT,REQUEST_CREATED,2026-01-10 11:00:00,18,Physical,Heraklion
KEP007,333444555,BIRTH_CERT,REQUEST_COMPLETED,2026-01-10 11:45:00,45,Physical,Heraklion
KEP008,444555666,LICENSE_RENEWAL,REQUEST_CREATED,2026-01-10 12:00:00,5,Digital,Athens
KEP009,555666777,ADDRESS_CHANGE,REQUEST_CREATED,2026-01-10 12:10:00,75,Physical,Larissa
KEP010,666777888,TAX_CERT,REQUEST_COMPLETED,2026-01-10 12:20:00,22,Digital,Athens
