invoice_id,issuer_afm,receiver_afm,invoice_date,net_amount,vat_amount,total_amount,transmission_status,updated_at
INV001,123456789,987654321,2026-01-10,1000,240,1240,Accepted,2026-01-10 12:00:00
INV002,222333444,123456789,2026-01-10,500,120,620,Accepted,2026-01-10 12:05:00
INV003,456789123,222333444,2026-01-11,750,180,930,Rejected,2026-01-11 15:40:00
INV004,987654321,456789123,2026-01-12,-100,24,-76,Accepted,2026-01-12 10:00:00
INV005,123456789,222333444,2026-01-13,300,72,372,Pending,2026-01-13 09:00:00
INV006,333444555,444555666,2026-01-14,1500,360,1860,Accepted,2026-01-14 11:30:00
INV007,333444555,444555666,2026-01-14,1500,360,1860,Accepted,2026-01-14 11:30:00
INV008,666777888,777888999,2026-01-15,2000,480,2500,Accepted,2026-01-15 16:00:00
INV009,777888999,123456789,2026-01-16,850,,1054,Accepted,2026-01-16 17:00:00
INV010,222333444,555666777,2026-01-17,1200,288,1488,Accepted,2026-01-17 10:20:00
