statement_id,afm,fiscal_year,tax_category,tax_base,tax_amount,status,submitted_at,updated_at
TX001,123456789,2025,IncomeTax,25000,4200,Submitted,2026-01-10 09:15:00,2026-01-10 09:15:00
TX002,987654321,2025,VAT,18000,4320,Approved,2026-01-11 10:30:00,2026-01-11 13:00:00
TX003,456789123,2025,IncomeTax,0,0,Rejected,2026-01-12 11:00:00,2026-01-12 11:20:00
TX004,222333444,2025,VAT,54000,12960,Approved,2026-01-12 12:45:00,2026-01-12 14:00:00
TX005,,2025,IncomeTax,31000,5900,Submitted,2026-01-13 08:20:00,2026-01-13 08:20:00
TX006,333444555,2025,VAT,12000,-2880,Approved,2026-01-14 09:10:00,2026-01-14 10:00:00
TX007,444555666,2024,IncomeTax,67000,15100,Approved,2025-12-20 14:00:00,2026-01-02 08:00:00
TX008,555666777,2025,PropertyTax,95000,2300,Submitted,2026-01-15 16:20:00,2026-01-15 16:20:00
TX009,666777888,2025,VAT,22000,5280,Approved,2026-01-16 10:05:00,2026-01-16 13:30:00
TX010,777888999,2025,IncomeTax,41000,7800,Submitted,2026-01-16 11:15:00,2026-01-16 11:15:00
